epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8524,1.69733,3.5697,1.77462,0.02093,0.48445,0.04183,0.02186,1.01099,3.54219,1.27401,0.00010003,0.00010003,0.00010003
2,20.8694,1.34353,3.27908,1.48411,0.04574,0.64526,0.24216,0.14749,1.068,3.07757,1.0413,0.000214243,0.000214243,0.000214243
3,23.0367,1.32249,2.4569,1.36665,0.04233,0.65559,0.54517,0.37116,1.10364,2.82579,1.03284,0.000328015,0.000328015,0.000328015
4,25.1818,1.32194,1.81982,1.39268,0.03954,0.61383,0.50173,0.29269,1.3101,3.02297,1.27751,0.000441005,0.000441005,0.000441005
5,27.2885,1.27586,1.39951,1.40239,0.92104,0.1521,0.52239,0.33419,1.22733,2.69834,1.18637,0.000552877,0.000552877,0.000552877
6,29.4343,1.23348,1.22983,1.38146,0.89355,0.21598,0.52825,0.34687,1.19025,2.31964,1.17832,0.000663295,0.000663295,0.000663295
7,31.4678,1.19267,1.12414,1.35395,0.91585,0.44312,0.5958,0.40159,1.22096,2.08767,1.29357,0.00077193,0.00077193,0.00077193
8,33.452,1.20201,1.11729,1.36022,0.90381,0.54671,0.60777,0.4407,1.09247,1.99752,1.21602,0.000878459,0.000878459,0.000878459
9,35.4974,1.16506,1.07487,1.30675,0.8743,0.63708,0.8663,0.55823,1.08676,1.58739,1.14,0.000982566,0.000982566,0.000982566
10,37.4353,1.17943,1.06577,1.31502,0.88767,0.6122,0.72431,0.50291,1.05723,1.56651,1.16026,0.00108394,0.00108394,0.00108394
11,39.4019,1.15139,1.05171,1.30394,0.89654,0.57072,0.90014,0.58629,1.07105,1.78948,1.19542,0.00118229,0.00118229,0.00118229
12,41.3693,1.18256,1.0462,1.32251,0.79485,0.66145,0.90254,0.58735,1.10884,1.30766,1.20654,0.00127731,0.00127731,0.00127731
